Time,Humphrey Hall,Jorns Halls,Gilman House,Mack House,Seed Building,DeJope Residence Hall,Phillips Residence Hall,Sullivan Residence Hall,Swenson House,Chamberlin Residence Hall,Cole Residence Hall,Veterinary Medicine Building,Tripp Residence Hall,Livestock Laboratory,Agricultural Engineering Laboratory,Veterinary Diagnostic Lab,Adams Residence Hall,Turner House, Kronshage Residence Hall, Leopold Residence Hall,Bakke Recreation & Wellbeing Center,Bradley Residence Hall,Jones Residence Hall,Goodnight Hall,Slichter Residence Hall,Carson Gulley Center
7/13/23 14:45,0.06 kW,0.56 kW,0.56 kW,0.06 kW,86.37 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.56 kW,0.06 kW,136.68 kW,0.56 kW,86.19 kW,50.49 kW,86.19 kW,0.56 kW,0.06 kW,0.56 kW,0.56 kW,385.40 kW,0.06 kW,0.56 kW,50.49 kW,0.56 kW,0.56 kW
7/13/23 15:00,0.06 kW,0.26 kW,0.26 kW,0.06 kW,87.67 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.26 kW,0.06 kW,136.69 kW,0.26 kW,87.31 kW,49.38 kW,87.31 kW,0.26 kW,0.06 kW,0.26 kW,0.26 kW,380.04 kW,0.06 kW,0.26 kW,49.38 kW,0.26 kW,0.26 kW
7/13/23 15:15,0.06 kW,0.27 kW,0.27 kW,0.06 kW,88.68 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.27 kW,0.06 kW,137.95 kW,0.27 kW,88.32 kW,49.63 kW,88.32 kW,0.27 kW,0.06 kW,0.27 kW,0.27 kW,382.60 kW,0.06 kW,0.27 kW,49.63 kW,0.27 kW,0.27 kW
7/13/23 15:30,0.06 kW,0.58 kW,0.58 kW,0.06 kW,89.78 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.58 kW,0.06 kW,138.99 kW,0.58 kW,89.42 kW,49.57 kW,89.42 kW,0.58 kW,0.06 kW,0.58 kW,0.58 kW,385.45 kW,0.06 kW,0.58 kW,49.57 kW,0.58 kW,0.58 kW
7/13/23 15:45,0.06 kW,0.40 kW,0.40 kW,0.06 kW,90.01 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.40 kW,0.06 kW,132.18 kW,0.40 kW,89.65 kW,42.53 kW,89.65 kW,0.40 kW,0.06 kW,0.40 kW,0.40 kW,386.96 kW,0.06 kW,0.40 kW,42.53 kW,0.40 kW,0.40 kW
7/13/23 16:00,0.08 kW,0.26 kW,0.26 kW,0.08 kW,88.19 kW,0.08 kW,0.08 kW,0.08 kW,0.08 kW,0.26 kW,0.08 kW,129.09 kW,0.26 kW,87.54 kW,41.55 kW,87.54 kW,0.26 kW,0.08 kW,0.26 kW,0.26 kW,386.53 kW,0.08 kW,0.26 kW,41.55 kW,0.26 kW,0.26 kW
7/13/23 16:15,0.09 kW,0.27 kW,0.27 kW,0.09 kW,86.69 kW,0.09 kW,0.09 kW,0.09 kW,0.09 kW,0.27 kW,0.09 kW,126.86 kW,0.27 kW,85.97 kW,40.88 kW,85.97 kW,0.27 kW,0.09 kW,0.27 kW,0.27 kW,388.16 kW,0.09 kW,0.27 kW,40.88 kW,0.27 kW,0.27 kW
7/13/23 16:30,0.07 kW,0.43 kW,0.43 kW,0.07 kW,77.42 kW,0.07 kW,0.07 kW,0.07 kW,0.07 kW,0.43 kW,0.07 kW,117.14 kW,0.43 kW,76.71 kW,40.44 kW,76.71 kW,0.43 kW,0.07 kW,0.43 kW,0.43 kW,389.59 kW,0.07 kW,0.43 kW,40.44 kW,0.43 kW,0.43 kW
7/13/23 16:45,0.07 kW,0.43 kW,0.43 kW,0.07 kW,75.99 kW,0.07 kW,0.07 kW,0.07 kW,0.07 kW,0.43 kW,0.07 kW,115.49 kW,0.43 kW,75.36 kW,40.13 kW,75.36 kW,0.43 kW,0.07 kW,0.43 kW,0.43 kW,390.03 kW,0.07 kW,0.43 kW,40.13 kW,0.43 kW,0.43 kW
7/13/23 17:00,0.07 kW,0.27 kW,0.27 kW,0.07 kW,74.88 kW,0.07 kW,0.07 kW,0.07 kW,0.07 kW,0.27 kW,0.07 kW,114.18 kW,0.27 kW,74.34 kW,39.85 kW,74.34 kW,0.27 kW,0.07 kW,0.27 kW,0.27 kW,390.09 kW,0.07 kW,0.27 kW,39.85 kW,0.27 kW,0.27 kW
7/13/23 17:15,0.06 kW,0.26 kW,0.26 kW,0.06 kW,73.90 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.26 kW,0.06 kW,112.71 kW,0.26 kW,73.14 kW,39.57 kW,73.14 kW,0.26 kW,0.06 kW,0.26 kW,0.26 kW,388.65 kW,0.06 kW,0.26 kW,39.57 kW,0.26 kW,0.26 kW
7/13/23 17:30,0.06 kW,0.26 kW,0.26 kW,0.06 kW,71.29 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.26 kW,0.06 kW,109.80 kW,0.26 kW,70.53 kW,39.28 kW,70.53 kW,0.26 kW,0.06 kW,0.26 kW,0.26 kW,379.68 kW,0.06 kW,0.26 kW,39.28 kW,0.26 kW,0.26 kW
7/13/23 17:45,0.06 kW,0.26 kW,0.26 kW,0.06 kW,68.02 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.26 kW,0.06 kW,106.27 kW,0.26 kW,67.26 kW,39.01 kW,67.26 kW,0.26 kW,0.06 kW,0.26 kW,0.26 kW,368.17 kW,0.06 kW,0.26 kW,39.01 kW,0.26 kW,0.26 kW
7/13/23 18:00,0.07 kW,0.26 kW,0.26 kW,0.07 kW,58.00 kW,0.07 kW,0.07 kW,0.07 kW,0.07 kW,0.26 kW,0.07 kW,71.74 kW,0.26 kW,57.36 kW,14.38 kW,57.36 kW,0.26 kW,0.07 kW,0.26 kW,0.26 kW,355.73 kW,0.07 kW,0.26 kW,14.38 kW,0.26 kW,0.26 kW
7/13/23 18:15,0.10 kW,0.26 kW,0.26 kW,0.10 kW,57.09 kW,0.10 kW,0.10 kW,0.10 kW,0.10 kW,0.26 kW,0.10 kW,71.09 kW,0.26 kW,56.54 kW,14.54 kW,56.54 kW,0.26 kW,0.10 kW,0.26 kW,0.26 kW,345.45 kW,0.10 kW,0.26 kW,14.54 kW,0.26 kW,0.26 kW
7/13/23 18:30,0.10 kW,0.26 kW,0.26 kW,0.10 kW,56.69 kW,0.10 kW,0.10 kW,0.10 kW,0.10 kW,0.26 kW,0.10 kW,71.35 kW,0.26 kW,56.27 kW,15.08 kW,56.27 kW,0.26 kW,0.10 kW,0.26 kW,0.26 kW,337.04 kW,0.10 kW,0.26 kW,15.08 kW,0.26 kW,0.26 kW
7/13/23 18:45,0.10 kW,0.26 kW,0.26 kW,0.10 kW,56.52 kW,0.10 kW,0.10 kW,0.10 kW,0.10 kW,0.26 kW,0.10 kW,72.28 kW,0.26 kW,56.09 kW,16.18 kW,56.09 kW,0.26 kW,0.10 kW,0.26 kW,0.26 kW,331.14 kW,0.10 kW,0.26 kW,16.18 kW,0.26 kW,0.26 kW
7/13/23 19:00,0.10 kW,0.25 kW,0.25 kW,0.10 kW,54.14 kW,0.10 kW,0.10 kW,0.10 kW,0.10 kW,0.25 kW,0.10 kW,69.51 kW,0.25 kW,53.72 kW,15.79 kW,53.72 kW,0.25 kW,0.10 kW,0.25 kW,0.25 kW,323.42 kW,0.10 kW,0.25 kW,15.79 kW,0.25 kW,0.25 kW
7/13/23 19:15,0.09 kW,0.25 kW,0.25 kW,0.09 kW,51.63 kW,0.09 kW,0.09 kW,0.09 kW,0.09 kW,0.25 kW,0.09 kW,65.61 kW,0.25 kW,51.21 kW,14.40 kW,51.21 kW,0.25 kW,0.09 kW,0.25 kW,0.25 kW,315.80 kW,0.09 kW,0.25 kW,14.40 kW,0.25 kW,0.25 kW
7/13/23 19:30,0.09 kW,0.25 kW,0.25 kW,0.09 kW,49.25 kW,0.09 kW,0.09 kW,0.09 kW,0.09 kW,0.25 kW,0.09 kW,62.19 kW,0.25 kW,48.84 kW,13.35 kW,48.84 kW,0.25 kW,0.09 kW,0.25 kW,0.25 kW,309.84 kW,0.09 kW,0.25 kW,13.35 kW,0.25 kW,0.25 kW
7/13/23 19:45,0.23 kW,0.24 kW,0.24 kW,0.23 kW,46.83 kW,0.23 kW,0.23 kW,0.23 kW,0.23 kW,0.24 kW,0.23 kW,58.70 kW,0.24 kW,46.42 kW,12.28 kW,46.42 kW,0.24 kW,0.23 kW,0.24 kW,0.24 kW,247.96 kW,0.23 kW,0.24 kW,12.28 kW,0.24 kW,0.24 kW
7/13/23 20:00,0.80 kW,0.24 kW,0.24 kW,0.80 kW,45.57 kW,0.80 kW,0.80 kW,0.80 kW,0.80 kW,0.24 kW,0.80 kW,56.62 kW,0.24 kW,45.15 kW,11.46 kW,45.15 kW,0.24 kW,0.80 kW,0.24 kW,0.24 kW,251.73 kW,0.80 kW,0.24 kW,11.46 kW,0.24 kW,0.24 kW
7/13/23 20:15,0.62 kW,0.24 kW,0.24 kW,0.62 kW,44.51 kW,0.62 kW,0.62 kW,0.62 kW,0.62 kW,0.24 kW,0.62 kW,55.01 kW,0.24 kW,44.09 kW,10.92 kW,44.09 kW,0.24 kW,0.62 kW,0.24 kW,0.24 kW,257.43 kW,0.62 kW,0.24 kW,10.92 kW,0.24 kW,0.24 kW
